GO_term,category,bin_edge,with_term_hist,without_term_hist
ALL_IDRs,cellcom,0.0,0.03203315659431374,0.0
ALL_IDRs,cellcom,0.01,0.1294230615955093,0.0
ALL_IDRs,cellcom,0.02,0.23781961992887427,0.0
ALL_IDRs,cellcom,0.03,0.32374742387381056,0.0
ALL_IDRs,cellcom,0.04,0.41083914978030966,0.0
ALL_IDRs,cellcom,0.05,0.5131883744438164,0.0
ALL_IDRs,cellcom,0.06,0.6235585395815695,0.0
ALL_IDRs,cellcom,0.07,0.71636866469053,0.0
ALL_IDRs,cellcom,0.08,0.8172503355764137,0.0
ALL_IDRs,cellcom,0.09,0.912261791351806,0.0
ALL_IDRs,cellcom,0.1,1.0183305057620466,0.0
ALL_IDRs,cellcom,0.11,1.1228051531379721,0.0
ALL_IDRs,cellcom,0.12,1.2157923968062982,0.0
ALL_IDRs,cellcom,0.13,1.315889685500694,0.0
ALL_IDRs,cellcom,0.14,1.4053598606329991,0.0
ALL_IDRs,cellcom,0.15,1.4674525670172336,0.0
ALL_IDRs,cellcom,0.16,1.579846944262053,0.0
ALL_IDRs,cellcom,0.17,1.6753897557155557,0.0
ALL_IDRs,cellcom,0.18,1.7533472244889163,0.0
ALL_IDRs,cellcom,0.19,1.8178689854016337,0.0
ALL_IDRs,cellcom,0.2,1.9096417018057272,0.0
ALL_IDRs,cellcom,0.21,1.9619422821220305,0.0
ALL_IDRs,cellcom,0.22,2.017203272644922,0.0
ALL_IDRs,cellcom,0.23,2.0780561491135887,0.0
ALL_IDRs,cellcom,0.24,2.1401235528464833,0.0
ALL_IDRs,cellcom,0.25,2.163655018591121,0.0
ALL_IDRs,cellcom,0.26,2.197434058127779,0.0
ALL_IDRs,cellcom,0.27,2.2207631026617105,0.0
ALL_IDRs,cellcom,0.28,2.231820361296569,0.0
ALL_IDRs,cellcom,0.29,2.272102182227163,0.0
ALL_IDRs,cellcom,0.3,2.2724058140432226,0.0
ALL_IDRs,cellcom,0.31,2.284373968126248,0.0
