GO_term,amyloid_over_half_sum,LLPS_over_half_sum
ALL_IDRs,7.495262595709268,6.764736708938496
Golgi apparatus,9.07184845254887,5.935459576070512
Golgi lumen,11.22613803230543,12.217327459618208
Golgi membrane,10.968993047676024,3.371980277680355
PML body,7.780085647613917,7.70059235325794
Z disc,5.982873453853471,5.259752616555659
actin cytoskeleton,4.665453648717997,6.115076746712518
adherens junction,6.000173565911652,7.345309381237524
anchoring junction,6.8019243796860795,6.469521086654492
apical plasma membrane,8.897610741093136,5.234432815308169
axon,6.981748842277306,6.361754290384088
axoneme,6.042651127488183,3.476727958279262
basement membrane,6.822530992595055,4.861053332223976
basolateral plasma membrane,8.042044056804203,4.376607402437658
bicellular tight junction,5.2393688151912245,9.991976464295261
cell cortex,5.29414418478751,6.881034016060631
cell junction,6.996377623862843,6.711425233920541
cell projection,7.055111836045307,5.543703486778366
cell surface,12.608119419642854,4.079938616071425
cell-cell junction,6.756141004929371,6.533835936097645
centriolar satellite,5.942216700589461,3.277735190716606
centriole,5.3053360963605725,2.049604973449033
centrosome,5.851271683175042,3.7870164290932538
chromatin,5.876549389147836,12.243513079719994
chromosome,5.9297313848693785,10.882485133143643
"chromosome, telomeric region",5.586998973951607,6.72227186972495
ciliary basal body,5.4330510606187605,2.741678544478911
cilium,7.377710655860548,3.0631419974406544
collagen-containing extracellular matrix,8.335932429128977,7.81836113663376
cytoplasm,6.9484442232221095,7.4807824072062274
cytoplasmic vesicle,8.73210278647165,6.6425549304666776
cytoplasmic vesicle membrane,9.07283735021615,6.895718736002976
cytoskeleton,5.700728644235056,5.809927646273337
cytosol,6.274864969874735,8.570057879174257
dendrite,6.931757776460738,6.981859507414441
dendritic spine,6.007045042416155,6.884548846322193
early endosome,9.135629879721456,5.325490609833295
early endosome membrane,8.278292805734084,5.357936202351684
endoplasmic reticulum,8.695638380223597,6.947246862349459
endoplasmic reticulum lumen,6.690056518823639,8.31018296771721
endoplasmic reticulum membrane,9.970221824894036,6.11835377501077
endosome,8.806566763481284,5.933013785689251
endosome membrane,8.891605118069279,6.062103401643606
external side of plasma membrane,14.708082983788682,2.741185806597889
extracellular exosome,8.342661123949974,8.891996239034823
extracellular matrix,9.225617922805304,7.701205406063555
extracellular region,9.674097232677404,6.781365818969242
extracellular space,8.871218945471993,7.586312856216795
extrinsic component of membrane,8.00630345312954,5.9821606156576514
fibrillar center,6.252483114819228,10.6575288041319
focal adhesion,6.943110623313667,6.762473133031504
glutamatergic synapse,6.770366194295669,7.026625323527147
growth cone,6.715830308617078,6.239557527222444
intracellular membrane-bounded organelle,7.047694079870124,8.396370371696694
kinetochore,5.62622064199509,11.029595873604084
lamellipodium,5.352122393362884,8.306742328854543
late endosome,10.73120443778994,6.072506811320289
lysosomal membrane,11.17339452992739,4.298182912606746
lysosome,10.655469516850253,4.583924092049293
membrane,8.548849890546744,6.447673999376883
membrane raft,9.07158462416596,4.603696341055363
microtubule,5.664265978167321,4.167987800274792
microtubule cytoskeleton,5.931653267665522,4.739540763361985
microtubule organizing center,5.884354299206399,4.308634485472549
midbody,5.751532387698503,6.092455529844019
mitochondrial inner membrane,9.009604541742815,1.5864992028619178
mitochondrial matrix,7.008143265061513,2.4570804103359523
mitochondrial outer membrane,8.765646207208563,5.183984316091085
mitochondrion,7.405958435584639,4.4077722848573195
mitotic spindle,5.946421587798198,5.874071177160731
neuron projection,7.292909560517478,6.132479788588202
neuronal cell body,7.97388607227899,5.313288052790199
nuclear body,5.521606043710558,13.323634644994772
nuclear envelope,7.698164658385641,8.958910658792904
nuclear matrix,5.422083465450374,18.09312422254201
nuclear membrane,7.518273140700013,8.990258547522831
nuclear speck,4.647622988369856,16.791292911081882
nucleolus,5.92181839582543,9.37403275658379
nucleoplasm,5.94058764875749,11.387798971808913
nucleus,6.429546317594101,9.411496154654849
other,6.668154069629444,7.317547873804931
perikaryon,8.459863194380537,5.27591178184718
perinuclear region of cytoplasm,6.6092744735773135,8.100423234665929
plasma membrane,8.777374411911161,5.713423818605195
postsynaptic density,5.82748606194221,8.492145930935065
postsynaptic membrane,7.474242768360412,5.077116841822721
presynapse,6.485614943348211,8.958989152252357
protein-containing complex,6.41143559326179,10.079221144018833
receptor complex,13.58719022292633,3.405001697408621
ribonucleoprotein complex,4.315591360022512,20.98870752128333
sarcolemma,7.193523933290013,3.7145332466969867
spindle,5.807075035711283,5.395344928997561
spindle pole,6.074456321415406,4.395503133063027
synapse,7.23146827109686,6.946123963320403
trans-Golgi network,8.870398494149855,5.531432482727638
transcription regulator complex,5.8743795995207915,15.40715385931884
