GO_term,amyloid_over_half_sum,LLPS_over_half_sum
ALL_IDRs,7.495262595709268,6.764736708938496
ATP binding,6.7223370384851675,5.6764229458749895
ATP hydrolysis activity,6.040687354931828,6.614133296924065
DNA binding,6.880022893663699,9.04977489152495
"DNA-binding transcription activator activity, RNA polymerase II-specific",7.189911412747529,10.094563903682943
DNA-binding transcription factor activity,7.489571358186892,6.773088082334262
"DNA-binding transcription factor activity, RNA polymerase II-specific",7.512194017858151,6.882971379423513
DNA-binding transcription factor binding,6.081343052109179,13.505479735318442
"DNA-binding transcription repressor activity, RNA polymerase II-specific",7.487968701312188,5.5049683204653235
G protein-coupled receptor activity,14.322663487113637,2.0874988535265504
GTP binding,7.209055535903782,4.237707817474352
GTPase activator activity,6.466023179223026,5.377716493259333
GTPase activity,7.288641497257176,5.41303646337528
RNA binding,4.528968927403136,17.775680064430595
RNA polymerase II cis-regulatory region sequence-specific DNA binding,7.430929076638869,8.373733146898822
RNA polymerase II transcription regulatory region sequence-specific DNA binding,7.281989353956951,7.705956465443952
RNA polymerase II-specific DNA-binding transcription factor binding,5.924124265437503,14.445474414688697
SH3 domain binding,5.021654889446088,11.367677228174148
actin binding,4.160743118498836,6.223746084025393
actin filament binding,3.8743455497382175,4.763207996192286
cadherin binding,6.195510813544625,10.064544097105145
calcium ion binding,11.798856069757987,5.2415822650734825
calmodulin binding,4.926801428135326,5.1325272420795525
carbohydrate binding,12.385321100917428,4.471773512692066
chromatin binding,5.5827913488507095,13.724030397954737
cysteine-type deubiquitinase activity,4.267155338852709,5.356850682286722
enzyme binding,6.610377780744252,8.438032493384316
extracellular matrix structural constituent,6.904056428140649,11.29218344389962
growth factor activity,11.96250140339059,2.318401257437968
guanyl-nucleotide exchange factor activity,6.397181531615055,3.32035354471846
heparin binding,11.576332565169244,4.372549606440604
histone binding,5.310362251243777,10.370024875621889
histone deacetylase binding,5.465648018839507,10.613653166844653
identical protein binding,7.080114297809289,8.754148451470916
integrin binding,9.151233308857522,6.948410432134015
mRNA binding,3.122721023372584,27.38238986191643
magnesium ion binding,5.6916575548922825,5.851236738674309
metal ion binding,8.125952651990195,6.386578942290992
metalloendopeptidase activity,11.183204337952448,2.257032951754182
microtubule binding,5.200223286423596,5.093476706721114
molecular adaptor activity,5.880168270089204,11.112539549898935
nucleic acid binding,6.270223641257657,11.013830822976917
other,7.51380490464128,7.058143584968478
phosphatidylinositol binding,7.057061109911464,5.38355646728568
protein dimerization activity,7.635111447860945,8.009996946633944
protein domain specific binding,6.188363741480713,11.378317378784338
protein heterodimerization activity,7.500957487552659,9.62274990425124
protein homodimerization activity,7.674153223714922,6.349741514947177
protein kinase activity,7.235263271538293,6.322835374317528
protein kinase binding,6.214404711169654,7.780182314295673
protein serine kinase activity,5.870692927333303,6.386065539201212
protein serine/threonine kinase activity,6.058070012741925,6.635603507422735
protein tyrosine kinase activity,10.208401582541642,5.208779578156891
protein-containing complex binding,6.341101280544097,9.902818290602962
sequence-specific DNA binding,7.055875628715133,7.821307727480563
sequence-specific double-stranded DNA binding,7.149721239085873,7.802554342165509
signaling receptor activity,13.508548418286672,3.299928336613163
signaling receptor binding,8.932424982279276,6.536189651098681
small GTPase binding,6.6045691988167885,5.465416325759957
structural molecule activity,6.391655556426945,11.456879199017067
transcription cis-regulatory region binding,7.194448722833354,7.826141586750862
transcription coactivator activity,4.962624020296287,21.390839487156253
transcription coregulator activity,5.075900567315967,17.302335031894813
transcription corepressor activity,4.989285381533586,13.576508587223204
transmembrane signaling receptor activity,14.104013982111121,2.350668997018518
transmembrane transporter binding,6.807902880266601,6.23363484884551
ubiquitin protein ligase activity,8.112183353437874,7.139626055488536
ubiquitin protein ligase binding,7.161709671065587,9.257435493401612
ubiquitin-protein transferase activity,8.00638532275108,6.989005553432108
zinc ion binding,6.872748639603503,8.516465268374931
