,L1_C_values,num_features_allowed,num_features_used,best_L2_C,roc_auc,pr_auc
0,0.0043,1,1,5.0,0.6705882352941177,0.8695363553038543
1,0.004473949579831933,2,2,5.0,0.7423529411764705,0.9046439296442683
2,0.004647899159663866,3,3,1.0,0.7247058823529411,0.8991472164422128
3,0.004995798319327731,4,4,5.0,0.7376470588235294,0.9081650132218665
4,0.005691596638655462,5,5,1.0,0.788235294117647,0.9257179709440779
5,0.006213445378151261,6,6,0.1,0.8070588235294118,0.9335298159194281
6,0.006561344537815126,7,7,0.5,0.8270588235294118,0.93948971296424
7,0.00743109243697479,8,8,0.1,0.7729411764705882,0.9216624254029071
8,0.007778991596638656,9,9,5.0,0.7705882352941177,0.9192015561879421
9,0.00795294117647059,10,10,0.1,0.7882352941176469,0.9281812844987445
10,0.009344537815126052,11,11,0.05,0.804705882352941,0.933835323073149
11,0.010214285714285716,12,12,5.0,0.8035294117647058,0.9324650459373227
12,0.01177983193277311,13,13,5.0,0.7976470588235294,0.9322356882478273
13,0.01299747899159664,14,14,1.0,0.82,0.9375504404484434
14,0.013171428571428574,15,15,5.0,0.8141176470588236,0.9341896327413799
15,0.01351932773109244,16,16,0.1,0.8152941176470588,0.9373645766302474
16,0.015084873949579834,17,17,0.5,0.8105882352941176,0.9344428583825973
17,0.01612857142857143,18,18,5.0,0.8388235294117647,0.9451746846333443
18,0.016476470588235294,19,19,0.5,0.8223529411764706,0.9373691692696655
19,0.01734621848739496,20,20,0.5,0.8141176470588235,0.9327241817259031
20,0.017520168067226893,21,21,0.05,0.8188235294117646,0.9350830179685394
21,0.01908571428571429,22,22,0.1,0.8011764705882354,0.9339818279747436
22,0.020129411764705882,24,24,5.0,0.7894117647058824,0.9325220142714554
23,0.020825210084033617,25,25,0.05,0.8117647058823528,0.9396797750038284
24,0.02099915966386555,26,26,0.1,0.7905882352941176,0.9318670749009197
25,0.022390756302521013,28,28,0.1,0.8176470588235294,0.9413179089626553
26,0.023434453781512606,29,29,0.05,0.8247058823529412,0.9432413844312648
