IDR,GO_molfunc_terms,GO_cellcom_terms,n_GO_molfunc_terms,n_GO_cellcom_terms
A0A024RBG1_145_181,nucleic acid binding; RNA binding; metal ion binding; other,nucleus; cytoplasm; cytosol; intracellular membrane-bounded organelle,4,4
A0A075B6T7_1_32,,plasma membrane; membrane; protein-containing complex; receptor complex,0,4
A0A087WTH1_1_67,,,0,0
A0A087WTH5_1_132,transmembrane transporter binding; other,,2,0
A0A087WV53_1_46,,,0,0
A0A087WVF3_214_549,GTPase activator activity,plasma membrane; membrane,1,2
A0A087WVF3_1_53,GTPase activator activity,plasma membrane; membrane,1,2
A0A087WWA1_1_95,other,membrane; extrinsic component of membrane; protein-containing complex,1,3
A0A087WX78_1_165,,,0,0
A0A087WX78_291_387,,,0,0
A0A087WXM9_1_373,,kinetochore; chromosome,0,2
A0A087WXS9_1_50,GTPase activator activity,plasma membrane; membrane,1,2
A0A087WXS9_214_549,GTPase activator activity,plasma membrane; membrane,1,2
A0A087X179_1_50,GTPase activator activity,plasma membrane; membrane,1,2
A0A087X179_214_549,GTPase activator activity,plasma membrane; membrane,1,2
A0A087X1G2_214_549,GTPase activator activity,plasma membrane; membrane,1,2
A0A087X1G2_1_53,GTPase activator activity,plasma membrane; membrane,1,2
A0A096LNP1_1_70,,extracellular region; extracellular space,0,2
A0A096LP01_37_95,,,0,0
A0A096LP49_1_634,microtubule binding,centrosome; microtubule organizing center; cytoskeleton; microtubule cytoskeleton,1,4
A0A096LP49_681_1063,microtubule binding,centrosome; microtubule organizing center; cytoskeleton; microtubule cytoskeleton,1,4
A0A096LPI5_1_108,,,0,0
A0A0A0MT76_1_42,,extracellular region; plasma membrane; membrane; protein-containing complex,0,4
A0A0A6YYL3_331_461,,,0,0
A0A0A6YYL3_1_93,,,0,0
A0A0B4J2D5_1_36,,cytoplasm; mitochondrion; intracellular membrane-bounded organelle,0,3
A0A0B4J2F2_350_783,magnesium ion binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; metal ion binding; protein serine kinase activity,cytoplasm,6,1
A0A0B4J2F2_278_307,magnesium ion binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; metal ion binding; protein serine kinase activity,cytoplasm,6,1
A0A0D9SF12_1_145,,,0,0
A0A0G2JMD5_225_283,,cytoplasm,0,1
A0A0G2JMD5_106_149,,cytoplasm,0,1
A0A0J9YWL9_151_993,nucleic acid binding; RNA binding; mRNA binding; metal ion binding,cytoplasm,4,1
A0A0J9YX94_426_578,,,0,0
A0A0J9YX94_76_274,,,0,0
A0A0J9YXQ4_85_350,,,0,0
A0A0J9YXQ4_487_647,,,0,0
A0A0J9YY54_1_62,nucleic acid binding; RNA binding; mRNA binding; metal ion binding,cytoplasm,4,1
A0A0J9YY54_151_714,nucleic acid binding; RNA binding; mRNA binding; metal ion binding,cytoplasm,4,1
A0A0K2S4Q6_130_201,transmembrane signaling receptor activity; signaling receptor activity,extracellular region; plasma membrane; membrane,2,3
A0A0U1RQF7_1_123,,,0,0
A0A0U1RQI7_1_968,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
A0A0U1RQS6_1_177,,,0,0
A0A0U1RR11_239_272,metal ion binding; other,,2,0
A0A0U1RR11_1_90,metal ion binding; other,,2,0
A0A0U1RR37_1_186,,,0,0
A0A0U1RRE5_1_68,,cytoplasm,0,1
A0A0U1RRI6_1_100,metal ion binding; other,,2,0
A0A0U1RRI6_254_287,metal ion binding; other,,2,0
A0A0U1RRK4_1_108,,,0,0
A0A0U1RRL7_1_34,,,0,0
A0A0U1RRN3_1_59,,,0,0
A0A183_1_80,,,0,0
A0A1B0GTC6_1_90,,,0,0
A0A1B0GTD5_1_43,,,0,0
A0A1B0GTH6_1_429,,nucleus; intracellular membrane-bounded organelle,0,2
A0A1B0GTH6_516_734,,nucleus; intracellular membrane-bounded organelle,0,2
A0A1B0GTI1_1_127,,,0,0
A0A1B0GTK4_108_181,,,0,0
A0A1B0GTK4_1_36,,,0,0
A0A1B0GTK5_1_79,,,0,0
A0A1B0GTL2_1_96,,,0,0
A0A1B0GTQ4_1_84,,Golgi membrane; cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; Golgi apparatus; plasma membrane; membrane; intracellular membrane-bounded organelle,0,8
A0A1B0GTR0_1_161,,extracellular region,0,1
A0A1B0GTR3_1_108,,,0,0
A0A1B0GTR4_1_108,,,0,0
